id,translation
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_NEXTLEVEL_BARRIER_RAVAGERBONUS,nextlevel.basic.action.1.foreach_stat.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_NEXTLEVEL_PROC_DURATION,nextlevel.basic.action.4.procs.0.use_count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_PROC_DURATION,thislevel.special.action.0.procs.0.use_count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_HEAL,thislevel.special.action.1.heal_amt
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_HEAL_MAXHEALTHPCT,thislevel.special.action.1.heal_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_PROC_COPY,thislevel.special.action.3.count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_PROC_FLIP,thislevel.special.action.4.count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_DIFF_HEAL,nextlevel.special.action.1.heal_amt - thislevel.special.action.1.heal_amt
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_NEXTLEVEL_HEAL_MAXHEALTHPCT,nextlevel.special.action.1.heal_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_NEXTLEVEL_PROC_COPY,nextlevel.special.action.3.count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_NEXTLEVEL_PROC_DURATION,nextlevel.special.action.0.procs.0.use_count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_DIFF_HEAL_MAXHEALTHPCT,nextlevel.special.action.1.heal_pct - thislevel.special.action.1.heal_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_SPECIAL_NEXTLEVEL_PROC_FLIP,nextlevel.special.action.4.count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_BLOCK,thislevel.passive_stats.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_SPAWNPROC_DURATION,nextlevel.passive.0.action.0.procs.0.use_count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_SPAWNPROC_ADDITIONALTARGETS,thislevel.passive.0.action.0.target.limit
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_CHARGED_HEAL,thislevel.passive.1.action.2.heal_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_CHARGED_RESIST,thislevel.dynamic_stats.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_DIFF_BLOCK,nextlevel.passive_stats.0.delta - thislevel.passive_stats.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_NEXTLEVEL_SPAWNPROC_DURATION,nextlevel.passive.0.action.0.procs.0.use_count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_CHARGED_BLOCK,thislevel.dynamic_stats.1.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_NEXTLEVEL_CHARGED_HEAL,nextlevel.passive.1.action.2.heal_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_NEXTLEVEL_CHARGED_RESIST,nextlevel.dynamic_stats.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_PASSIVE_NEXTLEVEL_CHARGED_BLOCK,nextlevel.dynamic_stats.1.delta
ID_ABILITY_YONDU_VAR_BASIC_DAMAGE,thislevel.basic.action.0.stat_modifier.0.delta
ID_ABILITY_YONDU_VAR_BASIC_PIERCING,thislevel.basic.action.0.stat_modifier.1.delta
ID_ABILITY_YONDU_VAR_BASIC_PROCREMOVAL,thislevel.basic.action.1.count
ID_ABILITY_YONDU_VAR_BASIC_DIFF_DAMAGE,nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta
ID_ABILITY_YONDU_VAR_BASIC_DIFF_PIERCING,nextlevel.basic.action.0.stat_modifier.1.delta - thislevel.basic.action.0.stat_modifier.1.delta
ID_ABILITY_YONDU_VAR_BASIC_NEXTLEVEL_PROCREMOVAL,nextlevel.basic.action.1.count
ID_ABILITY_YONDU_VAR_SPECIAL_SUMMON_RANDOM,thislevel.special.action.0.count
ID_ABILITY_YONDU_VAR_SPECIAL_SUMMON_AOE,thislevel.special.action.2.count
ID_ABILITY_YONDU_VAR_SPECIAL_SUMMON_HEALER,thislevel.special.action.1.count
ID_ABILITY_YONDU_VAR_SPECIAL_SUMMON_LOW,thislevel.special.action.0.count.f
ID_ABILITY_YONDU_VAR_SPECIAL_SUMMON_HIGH,thislevel.special.action.0.count.t
ID_ABILITY_YONDU_VAR_SPECIAL_NEXTLEVEL_SUMMON_AOE,nextlevel.special.action.2.count
ID_ABILITY_YONDU_VAR_SPECIAL_NEXTLEVEL_SUMMON_HEALER,nextlevel.special.action.1.count
ID_ABILITY_YONDU_VAR_SPECIAL_NEXTLEVEL_SUMMON_LOW,nextlevel.special.action.0.count.f
ID_ABILITY_YONDU_VAR_SPECIAL_NEXTLEVEL_SUMMON_HIGH,nextlevel.special.action.0.count.t
ID_ABILITY_YONDU_VAR_SPECIAL_ENERGY_START,thislevel.special.action.start_energy
ID_ABILITY_YONDU_VAR_SPECIAL_NEXTLEVEL_ENERGY_START,nextlevel.special.start_energy
ID_ABILITY_YONDU_VAR_ULTIMATE_PIERCING,thislevel.ultimate.action.0.stat_modifier.0.delta
ID_ABILITY_YONDU_VAR_ULTIMATE_PROCREMOVAL,thislevel.ultimate.action.1.count
ID_ABILITY_YONDU_VAR_ULTIMATE_BONUSFOCUS,thislevel.ultimate.action.2.foreach_stat.0.delta
ID_ABILITY_YONDU_VAR_ULTIMATE_DIFF_PIERCING,nextlevel.ultimate.action.0.stat_modifier.0.delta - thislevel.ultimate.action.0.stat_modifier.0.delta
ID_ABILITY_YONDU_VAR_ULTIMATE_NEXTLEVEL_PROCREMOVAL,nextlevel.ultimate.action.1.count
ID_ABILITY_YONDU_VAR_ULTIMATE_NEXTLEVEL_BONUSFOCUS,nextlevel.ultimate.action.2.foreach_stat.0.delta
ID_ABILITY_YONDU_VAR_PASSIVE_PROCCOPY,thislevel.passive.1.action.0.count
ID_ABILITY_YONDU_VAR_PASSIVE_COPYTARGETS,thislevel.passive.1.action.0.target.limit
ID_ABILITY_YONDU_VAR_PASSIVE_CHARGED_DAMAGE,thislevel.dynamic_stats.0.delta
ID_ABILITY_YONDU_VAR_PASSIVE_CHARGED_FOCUS,thislevel.dynamic_stats.1.delta
ID_ABILITY_YONDU_VAR_PASSIVE_BONUSDAMAGE_RAVAGER,thislevel.global_stats.0.delta
ID_ABILITY_YONDU_VAR_PASSIVE_NEXTLEVEL_PROCCOPY,nextlevel.passive.1.action.0.count
ID_ABILITY_YONDU_VAR_PASSIVE_NEXTLEVEL_COPYTARGETS,nextlevel.passive.1.action.0.target.limit
